Index,Statement,Source ,Source (URL),Date + time,True/False,Evidence (why true?),Category
789,Die Anzahl der Thrombose-Erkrankungen ist bei der Anti-Baby-Pille deutlich höher als nach einer Impfung mit Astrazeneca ,Facts For Friends,https://www.factsforfriends.de/fact/605c6514a7d18f000f75de89,2021-03-25,FALSE,Irreführende Aussage,"Consequences of vaccination, women"
840,"Tagesschau löscht Interview mit Biontech-CEO, in dem er enthüllende Aussagen zum Impfstoff macht",Facts For Friends,https://www.factsforfriends.de/fact/6005e1c79a0cd3000dcd6881,2021-01-18,FALSE,Falsche Behauptung,"Big pharma groups, misstrust in science"
603,Vor dem 14 Dezember gab es keine Daten über den Impfstatus von Intensivpatienten,Facts For Friends,https://www.factsforfriends.de/fact/61c6798cd4660b0010bc4c2f,2021-12-25,FALSE,Falsche Behauptungen,"Mistrust in government,vaccination status"
749,"In Frankreich hat eine Lebensversicherung nach dem Tod eines reichen Pariser Unternehmers durch eine Covid-19-Impfung die Zahlung verweigert. Die Familie hat die Versicherung verklagt, aber vor Gericht verloren, da eine freiwillige Impfung mit experimentellem Impfstoff laut Gericht wie Selbstmord zähle.",Unser Mitteleuropa quoted in CORRECTIV,https://correctiv.org/faktencheck/2022/02/04/doch-lebensversicherungen-zahlen-auch-bei-todesfaellen-durch-covid-19-impfungen/,2022-02-04,FALSE,Lack of source,"Insurance, consequences of vaccination"
365,"Zudem kann die Impfung selbst leichte fieberhafte Reaktionen hervorrufen, die eine Reaktion des Immunsystems darstellen und nicht mit einer Atemwegs- oder COVID-Infektion verwechselt werden sollten.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-07,TRUE,,
771,"Ein Bericht der britischen Gesundheitsbehörde beweist, dass Geimpfte ein höheres Risiko haben an einer Delta-Infektion zu sterben",Facts For Friends,https://www.factsforfriends.de/fact/60ee39ab740733000ee469e1,2021-07-14,FALSE,Irreführende Aussage,Effectiveness of vacination
560,"Impfstoffe gegen COVID-19 sind nicht sicher, weil sie zu schnell entwickelt und zugelassen wurden.",Zusammen gegen Corona / Bundesministerium für Gesundheit,https://www.zusammengegencorona.de/corona-im-alltag/fake-news-rund-um-das-coronavirus/,2022-06-17 15-17,FALSE,"Clinical studies, official information",Consequences of vaccination
244,Kindern und Jugendlichen im Alter von 12 bis 17 Jahren empfiehlt die STIKO eine Auffrischimpfung in einem Zeitfenster von 3 bis 6 Monaten nach der abgeschlossenen Grundimmunisierung.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
559,"Der Oberste Gerichtshof der USA hat in seinem Urteil zu einer Klage von Robert F. Kennedy Jr. gegen Dr. Anthony Fauci, Bill Gates und die pharmazeutische Industrie entschieden, dass COVID-19-Impfstoffe nicht sicher sind und hat die allgemeine Impfung abgeschafft.",NewsGuard,https://www.newsguardtech.com/de/special-reports/special-report-corona-impf-mythen/,2021-09-21 07-120,FALSE,"Reliable Publisher, specialized newspaper","Politics, vaccine mandate, Bill Gates, consequences of vaccination"
564,COVID-19-Impfstoffe können von geimpften Menschen auf ungeimpfte Menschen übertragen werden.,Zusammen gegen Corona / Bundesministerium für Gesundheit,https://www.zusammengegencorona.de/corona-im-alltag/fake-news-rund-um-das-coronavirus/,2022-06-17 15-17,FALSE,"Clinical studies, official information",Consequences of vaccination
776,"Ein Geheimdokument beweist, dass der Pharmahersteller Moderna schon vor der Pandemie von Sars-CoV-2 wusste",Facts For Friends,https://www.factsforfriends.de/fact/60da7331fe062a000e626a4d,2021-06-29,FALSE,Falsche Behauptung,"Big pharma groups, misstrust in science"
383,"Es gibt keinen Anhaltspunkt, dass die Corona-Schutzimpfungen Krankheiten wie Krebsa auslösen können.",BMG,https://www.zusammengegencorona.de/faqs/impfen/impfmythen/,2022-06-10,TRUE,,
554,"Der U.S. Supreme Court hat entschieden, veränderte DNA könne patentiert werden, da sie nicht mehr länger natürlich ist.",NewsGuard,https://www.newsguardtech.com/de/special-reports/special-report-corona-impf-mythen/,2021-09-21 07-113,FALSE,"Reliable Publisher, specialized newspaper","Consequences of vaccination, politics"
306,"Die meisten Fälle einer Herzmuskel- bzw. Herzbeutelentzündung verlaufen mild bis moderat, bei einem kleinen Teil der betroffenen PatientInnen gibt es jedoch schwere Verlaufsformen und wenige Todesfälle.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
739,Justin Biebers Gesichtslähmung sind eine Nebenwirkung der Covid-19-Impfung.,Social media posts quoted in CORRECTIV,https://correctiv.org/faktencheck/2022/06/27/gesichtslaehmung-von-justin-bieber-wird-ohne-belege-mit-corona-impfung-in-verbindung-gebracht/,2022-06-27,FALSE,"Lack of source, lack of scientific research, lack of understanding complex medical/biological topics","Consequences of vaccination, personal story"
454,"Das ausgehend von der mRNA gebildete Virusprotein regt als Antigen das Immunsystem des Körpers dazu an, Antikörper gegen SARS-CoV-2 zu produzieren (humorale Immunantwort).",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-04,TRUE,,
320,"Die Erfahrungen mit vielen Impfstoffen über viele Jahre haben gezeigt, dass Nebenwirkungen kurze Zeit, in der Regel innerhalb weniger Tage bis einige Wochen nach der Impfung auftreten.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
58,Eine Auffrischimpfung kann die SARS-CoV-2-Übertragung von infizierten Geimpften auf andere Personen deutlich reduzieren.,STIKO,https://www.rki.de/DE/Content/Infekt/EpidBull/Archiv/2021/Ausgaben/48_21.pdf?__blob=publicationFile,2021-12-02,TRUE,Expert panel (appointed by Government),Booster vaccination
999,Thymianextrakt kann bei der Heilung von COVID-19 helfen und die Krankheit verhindern,Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemiee,2022-07-02 08-59,FALSE,Falsche Behauptung,Politics
542,"SM-102, ein Bestandteil des COVID-19-Impfstoffs von Moderna, ist gefährlich und wurde von einem Unternehmen, das den Inhaltsstoff verkauft, als nicht sicher für die Verwendung beim Menschen oder in der Tiermedizin eingestuft. ",NewsGuard,https://www.newsguardtech.com/de/special-reports/special-report-corona-impf-mythen/,2021-09-21 07-98,FALSE,"Reliable Publisher, specialized newspaper","Consequences of vaccination, big pharma groups, mistrust in government"
815," An COVID würden fast nur diejenigen Menschen sterben, die ohnehin nicht mehr lange zu leben hätten",Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemie,2022-07-02 08-33,FALSE,Falsche Behauptung,Lifespan and symptoms
902,"Da sich auch Geimpfte mit SARS-CoV-2 infizieren und daran sterben können, ist es riskanter, sich impfen zu lassen als ungeimpft zu bleiben.",Facebook post quoted in CORRECTIV,https://correctiv.org/faktencheck/2021/12/23/covid-19-geimpfte-infizieren-sich-weniger-wahrscheinlich-und-haben-seltener-schwere-verlaeufe-als-ungeimpfte/,2021-12-23,FALSE,"Lack of context, lack of scientific research","Effectiveness of vaccination, consequences of vaccination"
198,"Wichtig ist aber auch, dass der Impfstoff Spikevax® (Vaccine Moderna) von Moderna  im Übrigen für Personen ab 30 Jahren ein wichtiges, sicheres und wirksames Element der Impfkampagne bleibt, insbesondere auch für die notwendigen Auffrischungsimpfungen.",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-13,TRUE,Expert panel (appointed by Government),vaccination type
309,Beide mRNA-Impfstoffe sind für die Grundimmunisierung und Auffrischimpfung zugelassen.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
10,Die Corona-Impfungen haben in ihrem ersten Jahr einer aktuellen Modellierung zufolge weltweit fast 20 Millionen Covid-19-Tote verhindert. Damit sei die Zahl der ohne Impfungen erwarteten Todesfälle mehr als halbiert worden [...].,faz,https://www.faz.net/aktuell/gesellschaft/gesundheit/impfung-rettete-im-ersten-corona-jahr-20-millionen-menschen-das-leben-18124638.html,2022-06-24 03-13,TRUE,"Reliable Publisher, expert citation",efficacy of vaccination
85,In klinischen Studien zeigte eine 2-malige Impfung mit Comirnaty bei 12- bis 15-Jährigen bzw. mit Spikevax bei 12- bis 17-Jährigen eine Wirksamkeit gegenüber einer COVID19-Erkrankung von bis zu 100 Prozent.,STIKO,https://www.rki.de/DE/Content/Infekt/Impfen/Materialien/Downloads-COVID-19/Aufklaerungsbogen-de.pdf?__blob=publicationFile,2022-05-24,TRUE,Expert panel (appointed by Government),Child vaccination
436,"Auch wenn COVID-19 in der Regel bei Kindern und Jugendlichen keine schwere Erkrankung ist, kann es in Einzelfällen in Folge der Erkrankung zu schwerwiegenden Krankheitsmanifestationen kommen.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
766,Biontech-Gründer Sahin hat zu Beginn der Impfkampagne die mögliche Notwendigkeit einer dritten Variante verschwiegen,Facts For Friends,https://www.factsforfriends.de/fact/612a083859f333001218ef01,2021-08-17,FALSE,Irreführende Aussage,"Big pharma groups, effectiveness of vaccination"
267,Im Dezember 2021 wurde eine 2. Impfstoffdosis der COVID-19 Vaccine Janssen als Zweitimpfung im Abstand von mindestens 2 Monaten zur 1. Impfstoffdosis von der Europäischen Arzneimittelbehörde (EMA) zugelassen.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
53,Comirnaty ist für die Auffrischimpfung in derselben Dosierung wie für die Grundimmunisierung zugelassen.,STIKO,https://www.rki.de/DE/Content/Infekt/EpidBull/Archiv/2021/Ausgaben/48_21.pdf?__blob=publicationFile,2021-12-02,TRUE,Expert panel (appointed by Government),Vaccination dosis
444,"Die Deutsche Gesellschaft für Pädiatrische Infektiologie (DGPI) definiert PIMS als Fälle, bei denen neben Fieber, erhöhte systemische Entzündungsparameter, mindestens zwei Organbeteiligungen und eine aktuelle oder stattgehabte SARS-CoV-2-Infektion oder ein SARS-CoV-2-Kontakt nachzuweisen waren, sowie andere infektiologische Ursachen ausgeschlossen werden konnten.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
392,"Im Falle von zusätzlich vorliegenden Vorerkrankungen (wie z. B. Adipositas, arterielle Hypertonie oder Diabetes mellitus) erhöht sich das Risiko für eine schwere Erkrankung weiter.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-04-28,TRUE,,
208,"Wer sich nach der COVID-19-Impfung (unabhängig von der Anzahl der Impfstoffdosen) infiziert, kann in der Regel drei Monate nach der Infektion eine Booster-Impfung erhalten.",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-14,TRUE,Expert panel (appointed by Government),infection and vaccination
584,Die Firma Biontech/Pfizer will die dänische Regierung auf Gewinn-Entschädigung verklagen,Facts For Friends,https://www.factsforfriends.de/fact/62086487d4660b0010bc4c61,2022-02-13,FALSE,Keine Beweise/gefäschter Beitrag,"Big pharma groups, politics"
922,Trotz Impfung ist die Zahl der Corona-Fälle am 28. Oktober 2021 doppelt so hoch wie im Oktober 2020.,Telegram post quoted in CORRECTIV,https://correctiv.org/faktencheck/2021/11/30/warum-ein-vergleich-der-infektionszahlen-von-2020-und-2021-nichts-ueber-wirksamkeit-der-impfungen-aussagt/,2021-11-30,FALSE,Lack of context,Effectiveness of vaccination
726,"Das Blut der Ungeimpften fließt, wohingegen das Blut von Geimpften verklumpt ist und zusammenklebt.",Video/private Telegram channel qutoed in web.de,https://web.de/magazine/news/coronavirus/blutuntersuchung-beweist-covid-19-impfstoffe-wuermer-enthalten-blut-zusammenklebt-36487826,2022-01-05 19-20,FALSE,"Lack of understanding complex medical/biological topics, lack of scientific research, manipulation of video","Consequences of vaccination, mistrust in science"
1,"Bei den Jugendlichen und jungen Erwachsenen seien die Komplikationen der Vakzinen im Hinblick auf Myokarditiden in dieser Altersgruppe „verschwindend gering, in Deutschland gibt es bisher noch keinen bewiesenen Fall einer Myokarditis in Zusammenhang mit einer Impfung in dieser Altersgruppe“, erklärte Terhardt.",ÄrzteZeitung,https://www.aerztezeitung.de/Medizin/STIKO-empfiehlt-Corona-Impfung-allen-fuenf-bis-elfjaehrigen-Kindern-429341.html,2022-05-24 13-45,TRUE,"Reliable Publisher, specialized newspaper","child vaccination, complications"
370,Impfdurchbrüche werden im ausführlichen Wochenbericht des RKI veröffentlicht.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-07,TRUE,,
147,"Mittlerweile benötigt in Deutschland jede Person, die erstmalig mit Johnson & Johnson geimpft wurde, eine zweite Impfung (Comirnaty® von BioNTech/Pfizer ab 12 Jahren oder Spikevax® (Vaccine Moderna) von Moderna ab 30 Jahren), um nach den Regelungen der Coronavirus-Einreiseverordnung und der COVID-19-Schutzmaßnahmen-Ausnahmeverordnung den Impfnachweis zu erreichen.",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-10,TRUE,Expert panel (appointed by Government),number of doses
280,"Das RKI stellt montags bis freitags die Anzahl der durchgeführten Impfungen je Impfstoff, die Anzahl von Erst-, Zweit- und Auffrischungsimpfungen und den Anteil der Geimpften in der jeweiligen Altersgruppe sowie in der Gesamtbevölkerung als Excel-Datei zur Verfügung.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-22,TRUE,,
286,"Autorisiertes Personal dieser Einrichtungen kann die Daten der geimpften Person eingeben, welche in der Anwendung pseudonymisiert und über eine gesicherte Internetverbindung täglich an die Bundesdruckerei übermittelt werden.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-22,TRUE,,
254,Durch die Verkürzung des Impfabstands soll der Schutz vor schweren Verläufen von COVID-19 in der Bevölkerung verbessert und die Transmission der sich ausbreitenden Omikron-Variante vermindert werden.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
898,Es gab keine präklinischen Studien zur Toxizität des Impfstoffs,Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemie,2021-01-21,FALSE,,Side effects
976,Die steigenden Inzidenzen bei höchster Durchimpfung in Gibraltar im November 2021 wurden von Verschwörungstheoretikern als Beweis für die Nutzlosigkeit der Impfung herumgereicht,Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemiee,2022-07-02 08-37,FALSE,Falsche Behauptung,"Politics, vaccination status"
401,Die bisherigen Daten belegen analog zur Influenza- und Pertussis-Impfung in der Schwangerschaft die Sicherheit einer Impfung mit inaktivierten Impfstoffen (Totimpfstoffen) in der Schwangerschaft.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-04-28,TRUE,,
154,"Es gibt jedoch Hinweise, dass Alkoholkonsum – vor allem starker – die Fähigkeit des Körpers, eine Immunität aufzubauen, beeinträchtigen kann.",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-10,TRUE,Expert panel (appointed by Government),efficacy
707,Das Coronavirus befällt nur ältere Menschen,München Klinik,https://www.muenchen-klinik.de/covid-19/fake-news//,2021-04-28  09-39,FALSE,"Scientific research, official information",Mistrust in science
680,Es gibt eine Zwangsimpfung.,BR24,"https://www.br.de/nachrichten/wissen/die-gesammelten-fakes-desinformation-zu-corona,RuuURMo",2020-11-30 14-20,FALSE,"Lack of source, lack of understanding political system","Vaccine mandate, mistrust in government, politics"
792,50 Angestellte des Berliner Sana-Klinikums sind nach ihrer Covid-19-Impfung gestorben,Facts For Friends,https://www.factsforfriends.de/fact/6056fdb8a7d18f000f75de85,2021-03-21,FALSE,Falsche Behauptung,Consequences of vaccination
149,Die Anwendung von Nuvaxovid während der Schwangerschaft und Stillzeit wird zum jetzigen Zeitpunkt nicht empfohlen.,BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-10,TRUE,Expert panel (appointed by Government),Pregnancy
354,"Der Impfstoff Nuvaxovid (Novavax) bietet nach derzeitigem Kenntnisstand einen guten Schutz, jedoch ist die Datenlage limitiert.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-07,TRUE,,
502,"Untersuchungen zeigen, dass ein solider Schutz vor Infektion und schwerer Erkrankung erst durch eine mehrmalige Auseinandersetzung mit dem Spikeprotein von SARS-CoV-2 zu erlangen ist.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-15,TRUE,,
886,Ein Kind in der Nähe von Schweinfurt ist aufgrund des Tragens einer Atemschutzmaske bewusstlos zusammengebrochen,Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemie,2021-01-09,FALSE,Falsche Behauptung,Covid measures
127,"Die Corona-Schutzimpfung ist für alle Bürgerinnen und Bürger kostenlos, unabhängig von ihrem Versicherungsstatus. ",BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-11,TRUE,Expert panel (appointed by Government),cost
655,"Im Frühjahr werden 25 Prozent der Geimpften umgehend sterben. Weitere 36 Prozent werden so schwere Nebenwirkungen haben, dass man nicht wisse, ob sie es schaffen werden.",Tagesschau,https://www.tagesschau.de/faktenfinder/corona-falsche-propheten-101.html,2021-09-03 06-00,FALSE,"Conspiracy theory, lack of source/scientific research","Consequences of vaccination, new world order"
836,Die Techniker Krankenkasse übernimmt keine Behandlungskosten nach Impfschäden,Facts For Friends,https://www.factsforfriends.de/fact/601446619a0cd3000dcd688f,2021-01-29,FALSE,Falsche Behauptung,"Consequences of vaccination, insurance"
877,"Wenn Sie geschnittene Zwiebeln im Wohnraum aufstellen, werden Viren und Bakterien aus dem Körper und der Luft gesaugt.",Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemie,2020-12-31,FALSE,Falsche Behauptung,Covid Prevention
478,Die Europäische Arzneimittelbehörde (EMA) hat am 20. Dezember 2021 die bedingte Zulassung des Impfstoffes Nuvoxavid für Personen ab 18 Jahren zur Grundimmunisierung empfohlen.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-28,TRUE,,
675,Der Astrazeneca-Impfstoff kann Thrombosen auslösen.,BR24,"https://www.br.de/nachrichten/wissen/astrazeneca-impfstopp-irrefuehrender-vergleich-von-thrombosen,SRw4otR",2021-03-17 21-00,FALSE,"Statistics misinterpreted, lack of understanding complex medical/biological topics","Consequences of vaccination, women, big pharma groups"
954,"Eine Studie zeigt, dass mRNA-Impfstoffe bedenkliche Langzeitnebenwirkungen haben können, weil sie das Immunsystem reprogrammieren.",CORRECTIV,https://correctiv.org/faktencheck/2021/06/30/reprogrammierung-des-immunsystems-clemens-arvay-fuehrt-mit-video-ueber-angebliche-impfstoff-langzeitfolgen-in-die-irre/,2021-06-30,FALSE,"Statistics misinterpreted, lack of understanding complex medical/biological topics",Consequences of vaccination
667,Fake-Impfung: Den Tirschenreuther Landrat Roland Grillmeier bekommt eine Spritze mit Schutzkappe auf den Arm gedrückt.,BR24,"https://www.br.de/nachrichten/wissen/fake-news-ticker-falschmeldungen-zu-corona-im-faktencheck,SHosxOL",2021-07-19 16-21,FALSE,Lack of context,"Fake vaccination, politics"
175,Das empfohlene Impfintervall beim Impfstoff Janssen® von Johnson & Johnson im Rahmen eines heterologen Impfschemas beträgt 4 Wochen. ,BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-11,TRUE,Expert panel (appointed by Government),vaccination process
190,Vor allem unter dem Gesichtspunkt der abgeschwächten Schutzwirkung gegenüber der Omikron-Variante wird eine dritte Impfung empfohlen.,BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-05-19,TRUE,Expert panel (appointed by Government),booster
101,Die Daten zeigen: Jede Impfung hilft. Auch gegen Omikron.,Zusammen gegen Corona,https://assets.ctfassets.net/eaae45wp4t29/AE5gNgDZuMdQdrG7k5eLz/d2dd5655c40faad342fb311dd1ab2dba/210x297_BMG_Corona_2208_ImpfenHilft_7Gruende_DE_bf.pdf,2022-02-22,TRUE,Expert panel (appointed by Government),efficacy
471,Zu anderen Impfungen mit Lebendimpfstoffen soll ein Abstand von mindestens 14 Tagen vor und nach jeder COVID-19-Impfung eingehalten werden.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-21,TRUE,,
291,"Die COVID-19-Impfdaten fließen ein in die Bewertung der aktuellen epidemischen Lage und daraus abgeleitete politische Entscheidungen, werden für die Einschätzung der Wirksamkeit und Sicherheit der Impfstoffe und die Evaluation der Umsetzung der Impfempfehlungen benötigt.",RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-06-22,TRUE,,
950,"Uğur Şahin hat versprochen, der Biontech-Impfstoff wirke nach zwei Impfungen – sechs Monate später hat er jedoch erklärt, es seien weitere Dosen nötig.",Facebook post quoted in CORRECTIV,https://correctiv.org/faktencheck/2021/08/19/ugur-sahin-sprach-schon-vor-beginn-der-impfkampagne-von-moeglicher-dritt-impfung/,2021-08-19,FALSE,"Lack of context, lack of understanding complex medical/biological topics, manipulation of quote","Effectiveness of vaccination, big pharma groups"
819,Die steigenden Fallzahlen (z. B. im November 2020 in Deutschland) wären nur durch steigende Testkapazitäten zu erklären und nicht durch einen echten Anstieg der Fallzahlen.,Wikipedia,https://de.wikipedia.org/wiki/Falschinformationen_zur_COVID-19-Pandemie,2022-07-02 08-37,FALSE,Falsche Behauptung,Lifespan and symptoms
702,Thermoscanner sind effektiv um infizierte Personen zu identifizieren,München Klinik,https://www.muenchen-klinik.de/covid-19/fake-news//,2021-04-28  09-34,FALSE,"Scientific research, official information",Mistrust in science
429,Für die Impfung mit Comirnaty 30 µg bei Kindern und Jugendlichen im Alter von 12 bis 15 Jahren konnte eine Wirksamkeit gegenüber einer COVID-19-Erkrankung von bis zu 100 % in klinischen Studien nachgewiesen werden.,RKI,https://www.rki.de/SharedDocs/FAQ/COVID-Impfen/gesamt.html,2022-05-24,TRUE,,
112,"Neben den sogenannten mRNA-Impfstoffen von Moderna und Biontech und dem Vektorimpfstoff von Johnson & Johnson wird mit Novavax jetzt eine weitere Impfstoffart für alle ab 18 Jahren angeboten. Allen, die einen „Tot- impfstoff“ bevorzugen,  steht damit auch ein solcher zur Verfügung.",Zusammen gegen Corona,https://assets.ctfassets.net/eaae45wp4t29/AE5gNgDZuMdQdrG7k5eLz/d2dd5655c40faad342fb311dd1ab2dba/210x297_BMG_Corona_2208_ImpfenHilft_7Gruende_DE_bf.pdf,2022-02-22,TRUE,Expert panel (appointed by Government),vaccination type
586,"Laut eines Berichts der britischen Gesundheitsbehörde, zerstört die Corona-Impfung das Immunsystem",Facts For Friends,https://www.factsforfriends.de/fact/6205c18bd4660b0010bc4c5f,2022-02-11,FALSE,Studien,"Consequences of vaccination, effectiveness of vaccination"
120,Alle Personen ab 5 Jahren können einen Impftermin für die Corona-Schutzimpfung wahrnehmen oder spontane Impfangebote vor Ort nutzen.,BMG,https://www.zusammengegencorona.de/faqs/impfen/ablauf-der-corona-schutzimpfung/#id-873b4ba9-b1c1-5daa-811e-bc0bc242d87f,2022-07-10,TRUE,Expert panel (appointed by Government),age limit
24,Die Auffrischungsimpfungen führen zu einer niedrigeren Virenlast und damit zu einer geringeren Infektiosität.,BMG,https://www.zusammengegencorona.de/faqs/impfen/auffrischungsimpfung/,2022-06-10,TRUE,Government Information,Booster vaccination
26,Die Auffrischimpfung soll mit einem mRNA-Impfstoff erfolgen.,STIKO,https://www.rki.de/DE/Content/Infekt/EpidBull/Archiv/2021/Ausgaben/48_21.pdf?__blob=publicationFile,2021-12-02,TRUE,Expert panel (appointed by Government),Booster vaccination
